method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
heuristic,kitti,2011_09_26_drive_0027_sync,0.0,0.02405753874668478,7.602812241430141,,,2.498329993319973,75.01670006680027,2.498329993319973,75.01670006680027
heuristic,kitti,2011_09_26_drive_0028_sync,0.0,0.10351257781541268,7.602812241430141,,,2.499375156210947,75.00624843789053,2.499375156210947,75.00624843789053
heuristic,kitti,2011_09_30_drive_0028_sync,0.0,0.6866569751827871,7.602812241430141,,,2.4994654693179386,75.00534530682062,2.4994654693179386,75.00534530682062
heuristic,kitti,2011_09_30_drive_0033_sync,0.0,0.4649068691232411,7.602812241430141,,,2.495429616087751,75.0457038391225,2.495429616087751,75.0457038391225
heuristic,kitti,2011_10_03_drive_0027_sync,0.0,0.4469537759972704,7.602812241430141,,,2.5,75.0,2.5,75.0
aoi_min,kitti,2011_09_26_drive_0001_sync,0.0,0.07669611501887658,7.602812241430141,,,0.9909909909909909,90.09009009009009,0.9909909909909909,90.09009009009009
aoi_min,kitti,2011_09_26_drive_0002_sync,0.0,0.0583357333745537,7.602812241430141,,,0.9826589595375722,90.17341040462428,0.9826589595375722,90.17341040462428
aoi_min,kitti,2011_09_26_drive_0005_sync,0.0,0.04943346671377984,7.602812241430141,,,0.9930313588850174,90.06968641114982,0.9930313588850174,90.06968641114982
aoi_min,kitti,2011_09_26_drive_0019_sync,0.0,0.048588915806251715,7.602812241430141,,,0.9997797841885047,90.00220215811495,0.9997797841885047,90.00220215811495
aoi_min,kitti,2011_09_26_drive_0020_sync,0.0,0.025184780999629494,7.602812241430141,,,0.9977324263038548,90.02267573696145,0.9977324263038548,90.02267573696145
aoi_min,kitti,2011_09_26_drive_0027_sync,0.0,0.04765753803360892,7.602812241430141,,,0.995323981295925,90.04676018704075,0.995323981295925,90.04676018704075
aoi_min,kitti,2011_09_26_drive_0028_sync,0.0,0.19079981136434263,7.602812241430141,,,0.9997500624843788,90.0024993751562,0.9997500624843788,90.0024993751562
aoi_min,kitti,2011_09_30_drive_0028_sync,0.0,1.2603311955504652,7.602812241430141,,,0.9985033140902286,90.01496685909771,0.9985033140902286,90.01496685909771
aoi_min,kitti,2011_09_30_drive_0033_sync,0.0,1.0869100400650817,7.602812241430141,,,0.9963436928702011,90.03656307129798,0.9963436928702011,90.03656307129798
aoi_min,kitti,2011_10_03_drive_0027_sync,0.0,1.0293612764709106,7.602812241430141,,,0.9990108803165182,90.00989119683481,0.9990108803165182,90.00989119683481
periodic_opt,kitti,2011_09_26_drive_0001_sync,0.0,0.017479749906265864,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
periodic_opt,kitti,2011_09_26_drive_0002_sync,0.0,0.013270493470619442,7.602812241430141,,,10.0,0.0,10.0,0.0
periodic_opt,kitti,2011_09_26_drive_0005_sync,0.0,0.01436528169092265,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
periodic_opt,kitti,2011_09_26_drive_0019_sync,0.0,0.014148380779334842,7.602812241430141,,,10.0,0.0,10.0,0.0
periodic_opt,kitti,2011_09_26_drive_0020_sync,0.0,0.005934892905094579,7.602812241430141,,,10.0,0.0,10.0,0.0
periodic_opt,kitti,2011_09_26_drive_0027_sync,0.0,0.010877045956210803,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
periodic_opt,kitti,2011_09_26_drive_0028_sync,0.0,0.06701556809670167,7.602812241430141,,,10.0,0.0,10.0,0.0
periodic_opt,kitti,2011_09_30_drive_0028_sync,0.0,0.3234094712379896,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
periodic_opt,kitti,2011_09_30_drive_0033_sync,0.0,0.1855070467456513,7.602812241430141,,,10.0,0.0,10.0,0.0
periodic_opt,kitti,2011_10_03_drive_0027_sync,0.0,0.18140803274286155,7.602812241430141,,,10.0,0.0,10.0,0.0
